compound,broad_id,cohens_d,p_value,n_lost,n_intact,median_sensitivity_lost,median_sensitivity_intact,fdr
A-784168,BRD-K87665527-001-02-9,-0.0553,0.5671766282276138,64,556,-0.1279,-0.0477,0.9962626903601212
trimetrexate,BRD-K13642819-001-02-9,-0.0549,0.9337032318197115,64,554,-3.0298,-3.0947,0.9962626903601212
upadacitinib,BRD-K00003286-001-01-9,-0.0545,0.5376111153746149,64,556,-0.0714,-0.0316,0.9962626903601212
bismuth-subsalicylate,BRD-K80528473-001-03-0,-0.0543,0.3871649230744518,64,553,-0.0921,-0.059,0.9778833764515054
catharanthine,BRD-K92377961-001-03-7,-0.0541,0.6947573102828947,64,556,-0.3016,-0.2997,0.9962626903601212
butylidenephthalide,BRD-K02260986-001-03-9,-0.0532,0.7201512870838119,64,554,0.1416,0.1387,0.9962626903601212
NDD-094,BRD-K00004664-001-01-9,-0.0531,0.4766463031519461,64,554,-0.1401,-0.0526,0.9962626903601212
dapansutrile,BRD-K00004659-001-01-9,-0.0528,0.9815120144434888,64,557,0.0702,0.0486,0.9962626903601212
caroverin,BRD-K70161083-001-06-9,-0.0527,0.641185892431706,64,557,-0.0252,-0.0116,0.9962626903601212
GSK2982772,BRD-K00003429-001-01-9,-0.0526,0.9884957038410896,64,554,0.0666,0.0923,0.9978511439730471
methylparaben,BRD-K78321730-001-13-9,-0.0524,0.6580769569948801,64,553,-0.0461,-0.0491,0.9962626903601212
resmetirom,BRD-K00003123-001-01-9,-0.0523,0.8746149301432087,64,557,0.0712,0.0587,0.9962626903601212
ziritaxestat,BRD-K00003431-001-01-9,-0.0523,0.5711767875293814,64,556,-0.182,-0.1466,0.9962626903601212
nastorazepide,BRD-K17295893-238-03-9,-0.0518,0.4941033124124955,64,557,-0.0743,-0.0609,0.9962626903601212
eldecalcitol,BRD-K00003316-001-01-9,-0.0517,0.38433961902769787,64,556,-2.7108,-2.2559,0.9778833764515054
T-1095,BRD-K00004631-001-01-9,-0.0514,0.3823373984452816,64,557,-0.0736,-0.0313,0.9778833764515054
calcitonin,BRD-K00005332-019-01-9,-0.0509,0.3056047429522397,64,554,-0.1826,-0.1412,0.9514018446556411
NBI-98782,BRD-K15241725-001-02-9,-0.0507,0.9451612982470857,64,557,-0.0648,-0.0979,0.9962626903601212
Carcainium (chloride),BRD-K00079286-003-02-9,-0.0505,0.8403003607377176,63,545,0.1831,0.1651,0.9962626903601212
apararenone,BRD-K00003492-001-01-9,-0.0501,0.36837385268681777,64,554,0.1206,0.1899,0.9731676646696807
esomeprazole,BRD-K61443506-239-03-9,-0.0492,0.7460332965209171,64,556,-0.1821,-0.1404,0.9962626903601212
polaprezinc,BRD-K00003535-001-01-9,-0.0485,0.8885627532878418,64,554,0.0788,0.117,0.9962626903601212
DG051,BRD-K00003486-003-01-9,-0.0482,0.48956385374113065,64,554,0.1036,0.1558,0.9962626903601212
APY0201,BRD-K38627885-001-01-9,-0.0478,0.769945007788608,64,554,-0.7161,-0.9264,0.9962626903601212
dilmapimod,BRD-K00003459-001-01-9,-0.0478,0.6801668804693137,64,554,0.0475,0.0883,0.9962626903601212
pipobroman,BRD-K15656090-001-07-3,-0.0475,0.493755592925038,64,554,-0.084,-0.0376,0.9962626903601212
BMS-986158,BRD-K00003423-001-01-9,-0.0473,0.7949319189855096,64,554,-1.5933,-1.6233,0.9962626903601212
Spirapril Hydrochloride,BRD-K00074789-001-02-9,-0.0469,0.6647817703050328,63,545,-0.1133,-0.0809,0.9962626903601212
IDF-11774,BRD-K00003098-001-01-9,-0.0469,0.9944238046811069,64,557,-0.1202,-0.1413,0.9978511439730471
VU0360172,BRD-K83649660-003-04-9,-0.0469,0.441666053624732,64,554,-0.1821,-0.1339,0.9962626903601212
AT-1015,BRD-K06496777-003-02-9,-0.0468,0.31977966529694735,64,554,-0.0911,-0.0375,0.9553768206359181
RG7800,BRD-K00004590-001-01-9,-0.0467,0.8204614729737246,64,557,0.0591,0.0207,0.9962626903601212
ferrostatin-1,BRD-K97375133-001-04-9,-0.0465,0.8052966811354851,64,556,-0.0516,-0.0781,0.9962626903601212
bafilomycin-a1,BRD-K00010387-001-01-9,-0.0464,0.3936597748390158,64,557,-1.102,-0.7933,0.9815595701578091
reynoutrin,BRD-K00005343-001-01-9,-0.0464,0.4284684109008631,64,556,-0.1127,-0.0767,0.9949940755879771
Oxamniquine,BRD-A04843135-001-09-9,-0.0464,0.9239559955173743,63,545,-0.0701,-0.0601,0.9962626903601212
ASP-9521,BRD-K00003301-001-01-9,-0.0463,0.48956385374113065,64,554,-0.0135,0.0241,0.9962626903601212
cyproterone-acetate,BRD-K41141507-001-18-9,-0.046,0.5703630351049946,64,554,-3.1699,-2.9595,0.9962626903601212
AB-680,BRD-K00090628-001-01-9,-0.046,0.35222819985949416,63,545,-1.0558,-0.8675,0.9704788142491085
emricasan,BRD-K00023644-001-01-9,-0.0459,0.86187813739831,64,557,0.0748,0.088,0.9962626903601212
EPZ020411,BRD-K33586289-003-02-8,-0.0458,0.9666755787200151,64,554,-0.0538,-0.0449,0.9962626903601212
Indoxacarb,BRD-K00089583-001-01-9,-0.0457,0.2972290673397142,63,545,-0.0707,-0.0072,0.9514018446556411
MDR-652,BRD-K00091267-001-01-9,-0.0455,0.8694247940544185,63,545,0.341,0.2896,0.9962626903601212
hemin,BRD-K74057164-001-01-6,-0.0453,0.3241146920992237,64,554,-0.056,-0.0024,0.9588852605380689
ametantrone,BRD-K00004726-001-01-9,-0.0452,0.5514321352897267,64,554,-2.7874,-2.7194,0.9962626903601212
madrasin,BRD-K48905682-001-11-1,-0.0451,0.572373639372834,64,554,-0.2463,-0.1944,0.9962626903601212
LY2922470,BRD-K00091082-001-01-9,-0.0451,0.6880494720408712,63,545,0.0007,0.0753,0.9962626903601212
strontium-ranelate,BRD-K83146339-001-04-0,-0.045,0.6899480450192756,64,554,0.0159,0.0241,0.9962626903601212
AP-18,BRD-K32143970-001-02-9,-0.0449,0.800641243766448,64,554,-3.9482,-3.7177,0.9962626903601212
docusate,BRD-A00092689-236-04-9,-0.0448,0.8809731141015468,64,554,-0.0375,-0.0974,0.9962626903601212
fevipiprant,BRD-K00003232-001-01-9,-0.0447,0.6082840243957425,64,556,-0.2462,-0.1594,0.9962626903601212
azaserine,BRD-K47464228-001-14-9,-0.0442,0.9002588549571875,64,554,0.0813,0.0868,0.9962626903601212
PD-173212,BRD-K04426574-001-03-9,-0.0442,0.7340292028423767,64,554,-0.028,-0.0291,0.9962626903601212
L-kynurenine,BRD-K20497775-001-06-9,-0.0439,0.1838572268497919,64,557,-0.2384,-0.1646,0.9487690209253847
TEN-010,BRD-K00005242-001-01-9,-0.0431,0.9768178406531027,64,557,-1.5416,-1.388,0.9962626903601212
vaborbactam,BRD-K00003306-001-01-9,-0.043,0.6634478012240598,64,554,0.0699,0.1065,0.9962626903601212
PCI-27483,BRD-K00003213-001-01-9,-0.0427,0.8796317554418671,64,556,0.0321,0.0242,0.9962626903601212
NCX-1015,BRD-K00004749-001-01-9,-0.0425,0.5318444576577983,64,554,-0.0838,-0.0835,0.9962626903601212
UBP-296,BRD-A45499626-001-04-9,-0.0421,0.7665554967356449,64,554,-7.1238,-7.1936,0.9962626903601212
amiselimod,BRD-K00003223-003-01-9,-0.042,0.24854549549751292,64,554,-8.206,-7.9062,0.9487690209253847
3-MATIDA,BRD-A87125127-001-03-9,-0.0417,0.7966435786420922,64,554,-0.1597,-0.1578,0.9962626903601212
abarelix,BRD-K00003158-001-01-9,-0.0412,0.7446351237326914,64,554,0.1208,0.1913,0.9962626903601212
ZAMI-633,BRD-K11984358-001-01-3,-0.041,0.3981816771562853,64,556,0.0728,0.1187,0.9841489090300993
statil,BRD-K68332390-001-04-9,-0.0409,0.5262295529539213,64,557,0.0241,-0.0312,0.9962626903601212
acrylate,BRD-M00184283-001-01-1,-0.0409,0.7426881212998856,64,556,0.1364,0.1642,0.9962626903601212
COTI-2,BRD-K00003348-001-01-9,-0.0408,0.804726354219909,64,556,-0.0834,-0.072,0.9962626903601212
Lefamulin,BRD-K00071589-001-01-9,-0.0408,0.9275669253096301,63,545,-0.4988,-0.4778,0.9962626903601212
E7046,BRD-K00003449-001-01-9,-0.0406,0.3340077666812301,64,554,-0.2036,-0.1014,0.9681754766515198
MJ-15,BRD-K71315565-001-02-9,-0.0405,0.8918522456246913,64,556,-0.0981,-0.0573,0.9962626903601212
TAK-243,BRD-K00003376-001-01-9,-0.0404,0.9410629417874388,64,557,-8.1461,-8.0555,0.9962626903601212
segesterone-acetate,BRD-K00003150-001-01-9,-0.0404,0.9339287117063364,64,556,0.0945,0.0946,0.9962626903601212
celgosivir,BRD-K00003204-003-01-9,-0.0397,0.4174855473443394,64,554,0.009,0.0752,0.9933382971417266
CFI-400945,BRD-K27040396-051-02-9,-0.0396,0.4636425770383731,64,556,-1.2341,-1.1139,0.9962626903601212
sultiame,BRD-K00003488-001-01-9,-0.0395,1.0,64,554,0.257,0.2161,1.0
DC-260126,BRD-K10596918-001-02-9,-0.0393,0.8472542258830288,64,554,0.0256,0.0502,0.9962626903601212
LY3200882,BRD-K00003446-001-01-9,-0.0391,0.9055293307837241,64,554,0.103,0.1159,0.9962626903601212
incyclinide,BRD-K00003344-001-01-9,-0.0387,0.6639896947726779,64,556,-0.6028,-0.5657,0.9962626903601212
brincidofovir,BRD-K00004672-001-01-9,-0.0385,0.8267597261890247,64,557,-0.0475,-0.0492,0.9962626903601212
DSPC,BRD-K00004570-001-01-9,-0.0384,0.4849289256068865,64,554,-0.1364,-0.0685,0.9962626903601212
AVE-0991,BRD-K36154108-001-01-7,-0.038,0.4065293975572015,64,554,-0.099,-0.0147,0.9869805608457428
KRCA-0008,BRD-K40604024-001-02-9,-0.0379,0.7111591045499676,64,556,-0.3727,-0.361,0.9962626903601212
AAI101,BRD-K00003450-001-01-9,-0.0375,0.4720785418193246,64,554,0.0406,0.0976,0.9962626903601212
WAY-255348,BRD-K00004556-001-01-9,-0.0375,0.9387217173226474,64,557,-0.0025,0.038,0.9962626903601212
azapropazone,BRD-A70182876-001-11-9,-0.037,0.8190149382117162,64,556,0.062,0.0487,0.9962626903601212
fosfluconazole,BRD-K00003384-001-01-9,-0.037,0.7412805415422545,64,554,0.0771,0.0974,0.9962626903601212
PRN1371,BRD-K00003430-001-01-9,-0.0369,0.3944762111850031,64,557,-0.7796,-0.7013,0.9819801907331112
lodenosine,BRD-K00004554-001-01-9,-0.0367,0.8264610005984768,64,554,0.0231,0.0736,0.9962626903601212
zuranolone,BRD-K00003448-001-01-9,-0.0364,0.9660861181880499,64,554,-0.0669,-0.0831,0.9962626903601212
Oclacitinib,BRD-K00084846-001-01-9,-0.0363,0.7440418038148876,63,545,0.0096,0.0692,0.9962626903601212
pyrintegrin,BRD-K94659840-001-02-9,-0.0361,0.7956154511036173,64,556,-0.8163,-0.9456,0.9962626903601212
Laflunimus,BRD-K00076962-001-02-9,-0.0355,0.45418087287025777,63,545,0.0217,-0.0399,0.9962626903601212
SU16f,BRD-K91106808-001-03-9,-0.0353,0.761083405400681,64,553,-0.1908,-0.1988,0.9962626903601212
LEQ506,BRD-K00003269-001-01-9,-0.0353,0.7485549301852183,64,554,0.1228,0.1211,0.9962626903601212
CT7001,BRD-K00003453-003-01-9,-0.0351,0.586541274169611,64,554,-6.8933,-6.6686,0.9962626903601212
CC4,BRD-K17751100-001-02-9,-0.0349,0.8745596106199081,64,554,0.1277,0.1285,0.9962626903601212
argireline,BRD-K00003332-001-01-9,-0.0344,0.44751154949460126,64,557,0.0017,0.0605,0.9962626903601212
DMPS,BRD-A22971209-001-01-0,-0.0344,0.7820015562348762,64,556,0.0715,0.1001,0.9962626903601212
selonsertib,BRD-K00003274-001-01-9,-0.0341,0.8397324879800994,64,554,-1.1761,-1.1203,0.9962626903601212
monomethyl-fumarate,BRD-K00004695-001-01-9,-0.0339,0.9590141292630565,64,554,0.0033,-0.0363,0.9962626903601212
H-151,BRD-K00005333-001-01-9,-0.0337,0.8388143347008788,64,557,-0.1223,-0.1621,0.9962626903601212
tyrphostin-AG-825,BRD-K87919739-001-08-9,-0.0331,0.917256072134788,64,554,-0.0391,-0.0608,0.9962626903601212
PIM-447,BRD-K00003280-300-01-9,-0.0326,0.4249723056263359,64,557,-4.1843,-3.8315,0.9949940755879771
melanotan-ii,BRD-K75989555-001-02-9,-0.0325,0.7660275944439736,64,557,0.0213,0.0265,0.9962626903601212
esaxerenone,BRD-K00003374-001-01-9,-0.0324,0.4191864204044904,64,554,-0.0173,0.0352,0.9945017423054889
ABX464,BRD-K00003394-001-01-9,-0.0324,0.8838909516646616,64,554,-0.3323,-0.2788,0.9962626903601212
daminozide,BRD-K83452553-001-07-9,-0.0322,0.9761092049368225,64,554,-0.0312,-0.0456,0.9962626903601212
calcium-levofolinate,BRD-K97009491-238-05-9,-0.0322,0.7412805415422545,64,554,0.0961,0.0956,0.9962626903601212
PF-06305591,BRD-K00004712-001-01-9,-0.0322,0.7457543987596582,64,554,-0.1559,-0.1826,0.9962626903601212
MK-5046,BRD-K03886848-001-01-8,-0.0319,0.6280156954781386,64,556,-0.2486,-0.2266,0.9962626903601212
ethynylcytidine,BRD-K00003207-001-01-9,-0.0316,0.6596952376788487,64,554,-6.5921,-6.5191,0.9962626903601212
BAY1125976,BRD-K00003357-001-01-9,-0.0315,0.6677468018688724,64,554,-0.4598,-0.4907,0.9962626903601212
J147,BRD-K00004699-001-01-9,-0.0315,0.9333427735699688,64,556,-0.0458,-0.0255,0.9962626903601212
FLT3-IN-1,BRD-K00003510-001-01-9,-0.0313,0.6353538352246639,64,556,-2.0198,-1.9295,0.9962626903601212
BAZ2-ICR,BRD-K66830666-001-02-7,-0.0313,0.596759485119613,64,554,-0.157,-0.1022,0.9962626903601212
acebilustat,BRD-K00003255-001-01-9,-0.031,0.5736836862931516,64,556,-0.0148,0.0493,0.9962626903601212
RAD140,BRD-K00003169-001-01-9,-0.0308,0.9591537230521358,64,556,-0.0201,-0.0775,0.9962626903601212
4-DAMP,BRD-K29313239-005-10-9,-0.0308,0.5130918989397143,64,554,-0.0171,0.0079,0.9962626903601212
Recilisib,BRD-K00075424-001-02-9,-0.0307,0.7110518567371946,63,545,-0.1269,-0.1251,0.9962626903601212
deferasirox,BRD-K97010173-001-06-9,-0.0305,0.6347246409640259,64,554,-0.1717,-0.1527,0.9962626903601212
fenebrutinib,BRD-K25290930-001-03-9,-0.03,0.8478334070491061,64,554,0.286,0.2885,0.9962626903601212
MK-0429,BRD-K00076647-001-02-9,-0.0299,0.39239716380105516,63,545,-0.7056,-0.6168,0.981212735564662
KHK-IN-1,BRD-K84605263-003-01-6,-0.0298,0.5658515228435311,64,554,-0.6619,-0.672,0.9962626903601212
tafluprost,BRD-K65059905-001-02-9,-0.0296,0.5188250145312743,64,554,-0.0549,-0.0175,0.9962626903601212
glycerol-phenylbutyrate,BRD-K00003520-001-01-9,-0.0296,0.5376111153746149,64,556,0.0495,0.1107,0.9962626903601212
PLX51107,BRD-K00003099-001-01-9,-0.0295,0.887965438920262,64,557,-0.9057,-0.7794,0.9962626903601212
sitaxentan,BRD-K63806092-236-06-9,-0.0292,0.9932498943963177,64,557,0.0224,0.0148,0.9978511439730471
mitoquinone,BRD-K00003362-066-01-9,-0.0292,0.841114836744603,64,557,-3.5924,-3.7962,0.9962626903601212
vadadustat,BRD-K00003407-001-01-9,-0.029,0.45807294608026816,64,554,0.0357,-0.0243,0.9962626903601212
chlortetracycline,BRD-K00003353-003-01-9,-0.0287,0.8687362838762135,64,554,0.1055,0.0883,0.9962626903601212
casin,BRD-A25043798-001-02-9,-0.0287,0.6975916927649224,64,554,-0.2628,-0.2106,0.9962626903601212
CI-953,BRD-K00004748-001-01-9,-0.0287,0.7983562170362649,64,554,0.0227,0.0838,0.9962626903601212
plumbagin,BRD-K36137799-001-06-9,-0.0285,0.8733943911913349,64,554,-0.3276,-0.2957,0.9962626903601212
GSK2983559 (free acid),BRD-K00091265-001-01-9,-0.0281,0.6691897355269347,63,545,0.2554,0.2918,0.9962626903601212
olumacostat-glasaretil,BRD-K00004611-001-01-9,-0.028,0.7909418967731987,64,554,0.0647,0.0534,0.9962626903601212
pantoprazole,BRD-K00003243-236-01-9,-0.028,0.41451882557935615,64,554,0.1382,0.2085,0.992749667580259
ilaprazole,BRD-K00003427-001-01-9,-0.028,0.5824768211524332,64,554,0.0088,-0.0208,0.9962626903601212
JNJ-27141491,BRD-K41895652-001-02-9,-0.0274,0.737930869484887,64,554,-0.1242,-0.1179,0.9962626903601212
fezolinetant,BRD-K00003287-001-01-9,-0.0273,0.5429730086697699,64,556,-0.2409,-0.1974,0.9962626903601212
Epitalon (TFA),BRD-K00078221-019-02-9,-0.0269,0.8308354805545808,63,545,0.0568,0.0634,0.9962626903601212
A-804598,BRD-K94313941-001-03-9,-0.0268,0.9756029168478165,64,556,0.0879,0.0663,0.9962626903601212
CPI-169,BRD-K97181972-001-01-9,-0.0259,0.4412273445581515,64,554,-0.275,-0.1924,0.9962626903601212
L-phenylisopropyladenosine,BRD-K25521961-001-06-9,-0.0257,0.7458935522805961,64,557,0.0212,0.0017,0.9962626903601212
Tebanicline (dihydrochloride),BRD-K00091289-300-01-9,-0.0255,0.5699227239081839,63,545,-0.1603,-0.1806,0.9962626903601212
etifenin,BRD-K63979671-001-11-9,-0.0255,0.8633827571578954,64,556,-0.0059,0.0019,0.9962626903601212
Tildipirosin,BRD-K00073880-001-02-9,-0.0253,0.6213591174137003,63,545,-0.2333,-0.2422,0.9962626903601212
RQ-00203078,BRD-K87973152-001-02-9,-0.025,0.5850155640967236,64,554,0.0133,0.0435,0.9962626903601212
amenamevir,BRD-K00004966-001-01-9,-0.0247,0.6747084903362439,64,557,-0.1187,-0.0234,0.9962626903601212
ALX-40-4C,BRD-K00003337-019-01-9,-0.0246,0.8850603146979782,64,557,-0.052,-0.0417,0.9962626903601212
acolbifene,BRD-K00004720-001-01-9,-0.0246,0.729578555362881,64,554,-0.037,-0.0383,0.9962626903601212
Echothiophate Iodide,BRD-K00075140-005-02-9,-0.0244,0.8343820135605421,63,545,0.0307,0.0288,0.9962626903601212
dixyrazine,BRD-K00003339-001-01-9,-0.0244,0.9058498689888423,64,556,-0.0785,-0.0405,0.9962626903601212
PF 04531083,BRD-K00076501-001-02-9,-0.0241,0.7618734776068571,63,545,0.0494,0.0606,0.9962626903601212
RV1729,BRD-K00004579-001-01-9,-0.024,0.9290008440897657,64,554,-0.0094,-0.0147,0.9962626903601212
acelarin,BRD-K00003531-001-01-9,-0.0239,0.654405931172428,64,557,-4.4156,-3.9098,0.9962626903601212
gamithromycin,BRD-K00003489-001-01-9,-0.0238,0.8688212457457242,64,557,0.0222,0.0108,0.9962626903601212
COH29,BRD-K00003307-001-01-9,-0.0238,0.9348791967867653,64,554,-1.3286,-1.3118,0.9962626903601212
VU591,BRD-K72063794-003-02-9,-0.0236,0.6970446879600407,64,554,0.0307,0.0357,0.9962626903601212
ABT-072,BRD-K00004730-001-01-9,-0.0236,0.9154958494454686,64,554,0.0102,0.018,0.9962626903601212
BAY-60-6583,BRD-K32952627-001-02-9,-0.0234,0.8333638793994885,64,556,0.0869,0.052,0.9962626903601212
lotamilast,BRD-K00003137-001-01-9,-0.0231,0.8827236253508843,64,554,-0.1953,-0.1999,0.9962626903601212
HT-2157,BRD-K00003386-001-01-9,-0.0227,0.7418392991805238,64,554,-0.1541,-0.1564,0.9962626903601212
Belvarafenib,BRD-K00091122-001-01-9,-0.0221,0.7990799051336386,63,545,-1.6534,-1.4893,0.9962626903601212
ketohexokinase-inhibitor-1,BRD-K00003341-001-01-9,-0.0219,0.9525342914745908,64,554,0.078,0.0824,0.9962626903601212
carbarsone,BRD-K94848716-001-12-9,-0.0217,0.9803048996306348,64,556,0.125,0.0861,0.9962626903601212
INX-08189,BRD-K00004752-001-01-9,-0.0215,0.7260361870729026,64,556,-0.1813,-0.2924,0.9962626903601212
DBPR-211,BRD-K00004704-001-01-9,-0.0214,0.8472542258830288,64,554,-0.0019,-0.0111,0.9962626903601212
astilbin,BRD-K44845912-001-02-9,-0.0212,0.8985029948327286,64,554,-0.1617,-0.1593,0.9962626903601212
BOS-172722,BRD-K00003111-001-01-9,-0.021,0.7970910896371957,64,557,-1.8008,-1.8679,0.9962626903601212
ETC-206,BRD-K00003115-001-01-9,-0.0209,0.7925514455339099,64,557,-0.0731,-0.0105,0.9962626903601212
acoziborole,BRD-K00003303-001-01-9,-0.0208,0.9709017817091926,64,556,0.1379,0.1597,0.9962626903601212
TAS4464,BRD-K00091290-001-01-9,-0.0205,0.6138884270728513,63,545,-3.874,-3.8288,0.9962626903601212
cilofexor,BRD-K00004595-001-01-9,-0.0199,0.8716470776211636,64,554,-0.0084,-0.0132,0.9962626903601212
L-755507,BRD-K39359968-001-03-9,-0.0196,0.7842660293920769,64,556,-0.1581,-0.178,0.9962626903601212
EDO-S101,BRD-K00003432-001-01-9,-0.0195,0.7063649742336304,64,554,-0.7581,-0.7469,0.9962626903601212
vorasidenib,BRD-K00003460-001-01-9,-0.0193,0.8356883297147765,64,554,-0.0337,-0.002,0.9962626903601212
Debio-0932,BRD-K00003157-001-01-9,-0.0191,0.9456545712333757,64,556,-4.2141,-4.365,0.9962626903601212
farampator,BRD-K00003507-001-01-9,-0.0187,0.9897282613791294,64,557,0.0751,0.0778,0.9978511439730471
eniporide,BRD-K00004568-001-01-9,-0.0187,0.8385765774442823,64,554,0.1407,0.1076,0.9962626903601212
BC-11,BRD-K14646328-004-02-9,-0.0187,0.9802375454054416,64,554,-0.0357,-0.0153,0.9962626903601212
ABBV-744,BRD-K00003108-001-01-9,-0.0187,0.8150078528016618,64,556,-1.3098,-1.1597,0.9962626903601212
GW-1100,BRD-K23614267-001-01-2,-0.0184,0.6855943454953923,64,554,-0.0387,-0.0584,0.9962626903601212
YM-298198-desmethyl,BRD-K48059230-003-03-9,-0.0184,0.5880688260262033,64,554,-0.0665,-0.0099,0.9962626903601212
olodanrigan,BRD-K00003151-001-01-9,-0.0184,0.506951463657697,64,556,-0.0843,-0.0659,0.9962626903601212
atropine-oxide,BRD-K00004526-001-01-9,-0.0183,0.9325274115134925,64,554,-0.0155,-0.0079,0.9962626903601212
HC-067047,BRD-K03391209-001-02-0,-0.018,0.6564855511472463,64,554,-0.3802,-0.2464,0.9962626903601212
TP-3654,BRD-K00005239-001-01-9,-0.017,0.5864267116079402,64,557,-0.3236,-0.3281,0.9962626903601212
TC-G-1004,BRD-K76989898-001-02-9,-0.0167,0.583491701085658,64,554,-0.0311,-0.0872,0.9962626903601212
Ranitidine (hydrochloride),BRD-K76687997-003-07-9,-0.0166,0.9041258569844716,63,545,0.1548,0.1441,0.9962626903601212
BW-348U87,BRD-K00004593-001-01-9,-0.0164,0.6431805351599064,64,554,-2.5305,-2.2156,0.9962626903601212
genz-123346,BRD-K70693421-001-01-1,-0.0163,0.9532828588643276,64,556,-0.6064,-0.6824,0.9962626903601212
CYM-5541,BRD-K75940276-001-04-9,-0.0156,0.9037720314456115,64,554,0.0552,0.0511,0.9962626903601212
TK216,BRD-K00090646-001-01-9,-0.0155,0.8456346129467132,63,545,-3.2564,-3.208,0.9962626903601212
val-tyr,BRD-K00004630-001-01-9,-0.0152,0.7407219202971993,64,554,0.0948,0.0806,0.9962626903601212
PF-750,BRD-K83213911-001-08-9,-0.0149,0.8850585301157105,64,554,0.0513,0.0367,0.9962626903601212
emodepside,BRD-K00003414-001-01-9,-0.0149,0.7129707125742151,64,554,0.0117,-0.0257,0.9962626903601212
CJ-033466,BRD-K21306330-001-02-9,-0.0147,0.9333427735699688,64,556,0.0125,0.0249,0.9962626903601212
mitotane,BRD-A31204924-001-14-2,-0.0147,0.6731359082176156,64,554,-0.0251,0.0499,0.9962626903601212
Difamilast,BRD-K00091099-001-01-9,-0.0145,0.34366824070860114,63,545,-0.1305,-0.054,0.9704788142491085
AMG-176,BRD-K43900408-001-02-9,-0.0143,0.9790579607074275,64,554,-0.444,-0.4218,0.9962626903601212
2-methylimidazole,BRD-K68534611-001-07-8,-0.0143,0.8691797084840144,64,556,-0.0854,-0.106,0.9962626903601212
cenobamate,BRD-K00003249-001-01-9,-0.0143,0.9832725034062421,64,557,-0.04,-0.0491,0.9962626903601212
pirozadil,BRD-K00004581-001-01-9,-0.0139,0.7408864333629369,64,557,0.0666,-0.0219,0.9962626903601212
PIM-1-Inhibitor-2,BRD-K48832421-001-03-9,-0.0137,0.36837385268681777,64,554,-0.6202,-0.4743,0.9731676646696807
pyrantel-pamoate,BRD-K20672254-046-05-4,-0.0137,0.5439507525549383,64,556,-0.0127,0.0031,0.9962626903601212
declopramide,BRD-K00004661-001-01-9,-0.0136,0.9660861181880499,64,554,-0.0334,-0.0398,0.9962626903601212
R-268712,BRD-K83904070-001-02-9,-0.0134,0.9380312632879054,64,556,-0.015,-0.0053,0.9962626903601212
I-CBP-112,BRD-K57090026-001-04-9,-0.0133,0.8716470776211636,64,554,-0.106,-0.043,0.9962626903601212
AQ-13,BRD-K00003365-300-01-9,-0.0132,0.44562565793396014,64,554,-0.0511,0.0008,0.9962626903601212
squalamine,BRD-K00003215-043-01-9,-0.0132,0.7297989920826295,64,557,-0.3329,-0.3405,0.9962626903601212
napamezole,BRD-K00004563-001-01-9,-0.0131,0.8530496991508917,64,554,0.1056,0.1255,0.9962626903601212
Gemilukast,BRD-K00078614-001-02-9,-0.0131,0.940216445610996,63,545,-0.1747,-0.1804,0.9962626903601212
SBI-115,BRD-K00005340-001-01-9,-0.0131,0.7863209288590385,64,557,-1.5509,-1.5111,0.9962626903601212
PF-04885614,BRD-K92435527-001-03-9,-0.0124,0.6543871118743927,64,556,-0.0241,-0.0005,0.9962626903601212
SCH-51344,BRD-K02460719-001-02-9,-0.0121,0.8970976455525402,64,556,-0.353,-0.3242,0.9962626903601212
walrycin-B,BRD-K01129913-001-01-5,-0.0121,0.9188784372789454,64,553,-1.533,-1.4329,0.9962626903601212
GSK239512,BRD-K00004689-001-01-9,-0.0117,0.8304894842188729,64,556,-0.0649,-0.0793,0.9962626903601212
Neu2000,BRD-K00003470-001-01-9,-0.0116,0.9814171733162815,64,554,-0.0417,-0.0467,0.9962626903601212
fisetin,BRD-K31836715-001-06-8,-0.0116,0.5592168162937063,64,556,-0.1194,-0.0435,0.9962626903601212
azaguanine-8,BRD-K53114651-001-12-7,-0.011,0.6661333892010732,64,554,-1.5658,-1.362,0.9962626903601212
cintirorgon,BRD-K00003458-001-01-9,-0.0109,0.6639896947726779,64,556,-0.2712,-0.2306,0.9962626903601212
ingenol,BRD-K00003329-001-01-9,-0.0109,0.8798064290561105,64,554,-0.0017,0.0174,0.9962626903601212
pamabrom,BRD-M67659203-001-02-7,-0.0098,0.8001675036575149,64,556,0.4932,0.5094,0.9962626903601212
panipenem,BRD-K00004671-001-01-9,-0.0095,0.8710647784916317,64,554,0.1433,0.0903,0.9962626903601212
avacopan,BRD-K00003256-001-01-9,-0.0092,0.8796317554418671,64,556,0.033,0.0567,0.9962626903601212
roblitinib,BRD-K00003424-001-01-9,-0.0092,0.9973541256297022,64,556,0.0339,0.0537,0.9986716343821852
rilapladib,BRD-K00004676-001-01-9,-0.0091,0.6289386512231072,64,554,-0.6304,-0.541,0.9962626903601212
LY2940094,BRD-K00077386-001-02-9,-0.009,0.7543796603811603,63,545,0.1211,0.1132,0.9962626903601212
cot-inhibitor-1,BRD-K98710228-001-01-6,-0.0086,0.7463142377234647,64,554,-0.0312,-0.0043,0.9962626903601212
emeramide,BRD-K00003226-001-01-9,-0.0083,0.6645215200112616,64,554,0.2435,0.2512,0.9962626903601212
