ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,MTAP_CN,MTAP_deleted,MTAP_expression
ACH-000953,SUP-T1,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,0.1622309366401423,True,5.744037276876844
ACH-000954,HEC-1-A,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,0.7061886763586556,False,4.9268059633162045
ACH-000955,SNU-407,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,1.024548210874406,False,4.946113232021757
ACH-000956,22Rv1,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,1.0409546415202902,False,5.519746318021011
ACH-000957,LS 180,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,1.0203828337725025,False,5.190057742794187
ACH-000958,SW48,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,1.044935772561037,False,6.761019265240484
ACH-000959,SNU-C4,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,0.8633934945828934,False,5.59613309104033
ACH-000960,Reh,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,,False,0.5640132413024652
ACH-000961,Ishikawa (Heraklio) 02 ER-,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,1.026781811441798,False,5.02264300860305
ACH-000962,OC 314,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,,False,5.541638734436141
ACH-000963,CCK-81,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,0.8743656704733489,False,5.090929627120633
ACH-000964,MOLT-3,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,0.0338566941082234,True,4.623545004784855
ACH-000965,RL95-2,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma,1.039275678991356,False,5.1614201411936635
ACH-000966,IGROV1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,1.0256786372640887,False,4.99541215618296
ACH-000967,SNU-C2A,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,0.6465700742413343,False,4.30438691797006
ACH-000968,COLO 792,Skin,Melanoma,Melanoma,0.905190311860301,False,4.4799419014771305
ACH-000969,KM12,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,1.0452318086918369,False,5.08206812039584
ACH-000970,SNU-C5,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,False,5.739497104998932
ACH-000971,HCT 116,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,1.1151873232080924,False,7.870259904597792
ACH-000972,HEC-151,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,,False,5.374222252160834
ACH-000973,639-V,Bladder/Urinary Tract,Urethral Cancer,Urethral Urothelial Carcinoma,0.942996642191969,False,6.145116977502249
ACH-000974,SNG-M,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,1.0345071586144854,False,4.659108246049987
ACH-000975,HCC2450,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,1.04356956242694,False,4.981784169304781
ACH-000976,HuCCT1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,1.0423738221759729,False,5.051694018254672
ACH-000977,LNCaP clone FGC,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,1.0183551998658,False,4.688241915246703
ACH-000978,EN,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,1.0137610094417675,False,4.779496122258548
ACH-000979,DU 145,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,0.9456302530591782,False,3.5785281807856837
ACH-000980,NCI-H1155,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,,False,5.625241261059152
ACH-000981,DND-41,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,,False,5.255160791128303
ACH-000982,GP2d,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,0.9967776217811468,False,4.416184436652167
ACH-000983,KCL-22,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",0.9831708661532484,False,4.831183081169284
ACH-000984,HEC-6,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma,,False,5.786528407263125
ACH-000985,LS411N,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,1.054253246024234,False,5.339212226347526
ACH-000986,HT115,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,1.109813323449414,False,5.166611014485699
ACH-000987,MeWo,Skin,Melanoma,Cutaneous Melanoma,,False,5.546372835199182
ACH-000988,MFE-319,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma,1.0324469121145283,False,4.690333280450233
ACH-000989,SNU-175,Bowel,Colorectal Adenocarcinoma,Mucinous Adenocarcinoma of the Colon and Rectum,,False,4.828585887498151
ACH-000990,HEC-108,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,,False,4.0250996868549125
ACH-000991,SNU-81,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,False,5.716480649665086
ACH-000992,BICR 18,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,,False,
ACH-000993,JHUEM-7,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,,False,4.088370604833377
ACH-000994,HEC-59,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,1.0926917647470518,False,6.253611151947168
ACH-000995,JURKAT,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,,False,0.0925700963304761
ACH-000996,HEC-251,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,1.0132472168006643,False,5.077140434027914
ACH-000997,HCT-15,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,1.080305693911073,False,5.928140515851631
ACH-000998,CW-2,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,False,4.901518589867126
ACH-000999,SNU-1040,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,False,5.1763387315681335
ACH-001000,1321N1,CNS/Brain,Diffuse Glioma,Astrocytoma,,False,
ACH-001001,143B,Bone,Osteosarcoma,Osteosarcoma,1.116823545933868e-05,True,0.0943144530207353
ACH-001002,451Lu,Skin,Melanoma,Cutaneous Melanoma,,False,
ACH-001007,A673STAG2KO16,Bone,Ewing Sarcoma,Ewing Sarcoma,,False,
ACH-001008,A673STAG2KO45,Bone,Ewing Sarcoma,Ewing Sarcoma,,False,
ACH-001009,A673STAG2NT14,Bone,Ewing Sarcoma,Ewing Sarcoma,,False,
ACH-001010,A673STAG2NT23,Bone,Ewing Sarcoma,Ewing Sarcoma,,False,
ACH-001015,AZ521,Bowel,Small Bowel Cancer,Duodenal Adenocarcinoma,,False,
ACH-001016,Becker,CNS/Brain,Diffuse Glioma,Astrocytoma,,False,4.6960327742554355
ACH-001017,BGC-823,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,,False,
ACH-001018,BJ hTERT,Fibroblast,Non-Cancerous,"Fibroblast, NOS",,False,
ACH-001019,BroLi,Skin,Merkel Cell Carcinoma,Merkel Cell Carcinoma,0.9303969907465224,False,4.662028855560777
ACH-001020,BT-16,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,1.004656039101681,False,5.246655102920456
ACH-001021,C3A,Liver,Hepatoblastoma,Hepatoblastoma,,False,
ACH-001022,CB-AGPN,Bone,Ewing Sarcoma,Ewing Sarcoma,,False,5.475837171598933
ACH-001023,CGTH-W-1,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,,False,
ACH-001024,CHL-1,Skin,Melanoma,Melanoma,,False,
ACH-001028,CHLA-06-ATRT,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,,False,3.601767817604052
ACH-001029,CHLA-10,Bone,Ewing Sarcoma,Ewing Sarcoma,0.9514471443409778,False,5.5910330749919455
ACH-001030,CHLA-218,Bone,Ewing Sarcoma,Ewing Sarcoma,,False,0.0111506675327172
ACH-001031,CHLA-266,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,0.9871692184228432,False,4.11462522093554
ACH-001032,CHLA-32,Bone,Ewing Sarcoma,Ewing Sarcoma,,False,4.498538101219403
ACH-001033,CHLA-57,CNS/Brain,Embryonal Tumor,Primitive Neuroectodermal Tumor,,False,4.81787391678813
ACH-001034,CHLA-9,Bone,Ewing Sarcoma,Ewing Sarcoma,,False,4.999197277605636
ACH-001035,CHLA-99,Bone,Ewing Sarcoma,Ewing Sarcoma,,False,4.148413534391824
ACH-001036,CMK-11-5,Myeloid,Acute Myeloid Leukemia,Myeloid Leukemia Associated with Down Syndrome,1.1972304365025543e-05,True,0.0
ACH-001037,CMK-86,Myeloid,Acute Myeloid Leukemia,Myeloid Leukemia Associated with Down Syndrome,,False,
ACH-001038,COG-E-352,Bone,Ewing Sarcoma,Ewing Sarcoma,0.0302565573582798,True,4.320513560512182
ACH-001039,COLO 205,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,False,
ACH-001041,CHL-1-DM,Skin,Melanoma,Melanoma,,False,5.158749028407881
ACH-001042,COLO-704,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,,False,
ACH-001043,COLO 775,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,,False,
ACH-001044,COLO 818,Skin,Melanoma,Cutaneous Melanoma,,False,
ACH-001045,COLO 849,Skin,Melanoma,Cutaneous Melanoma,,False,
ACH-001046,COR-L26,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,1.026812312607712,False,3.3268019330148113
ACH-001047,COR-L51,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,False,
ACH-001048,COV504,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,,False,2.9795388343521996
ACH-001049,CPC-N,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,False,
ACH-001050,CW9019,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,,False,1.9835755533803927
ACH-001052,D384,CNS/Brain,Embryonal Tumor,Medulloblastoma,,False,
ACH-001053,D425,CNS/Brain,Embryonal Tumor,Medulloblastoma,0.821389949810869,False,2.4528062625625005
ACH-001054,D458,CNS/Brain,Embryonal Tumor,Medulloblastoma,0.728818165117549,False,1.5599860871311508
ACH-001055,D556,CNS/Brain,Embryonal Tumor,Medulloblastoma,,False,
ACH-001057,DERL-2,Lymphoid,Mature T and NK Neoplasms,Hepatosplenic T-cell Lymphoma,1.2549245024236631e-05,True,0.0
ACH-001059,DL,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,0.9889564444183668,False,4.143932124535833
ACH-001060,DL-40,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Negative,0.9080984759957496,False,6.48937594738592
ACH-001061,DLD-1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,1.0249191608778037,False,5.509410821345089
ACH-001063,DOV13,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,,False,
ACH-001064,EB-2,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,,False,6.199864691352333
ACH-001065,Evsa-T,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,,False,
ACH-001066,EWS-834,Bone,Ewing Sarcoma,Ewing Sarcoma,,False,
ACH-001067,F5,CNS/Brain,Meningothelial Tumor,Meningioma,1.006644380341075,False,6.804944123440685
ACH-001068,FE-PD,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Negative,1.2014289113996657,False,0.0233447859735571
ACH-001071,GLC-82,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,,False,
ACH-001072,GR-M,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,False,
ACH-001075,NCI-H292,Lung,Non-Small Cell Lung Cancer,Mucoepidermoid Carcinoma of the Lung,1.116823545933868e-05,True,0.1626985875611886
ACH-001079,HCC1897,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,,False,
ACH-001081,HCC2998,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,False,
ACH-001084,HCT-8,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,False,
ACH-001086,HeLa,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,,False,6.049613343766232
ACH-001087,HK-2,Kidney,Non-Cancerous,Immortalized Embyonic Kidney Cells,,False,
ACH-001088,HLC-1,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,
ACH-001089,HLE,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,,False,
ACH-001090,HN,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,False,
ACH-001091,HRT18,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,False,
ACH-001093,Hs 604.T,Fibroblast,Non-Cancerous,"Fibroblast, Lymphoid",,False,
ACH-001094,HTK-,Bone,Osteosarcoma,Osteosarcoma,,False,
ACH-001096,JR,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,1.281668996462884,False,6.180217495298769
ACH-001097,KARPAS-384,Lymphoid,Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma,0.6701050847995781,False,2.285958474006994
ACH-001098,KCI-MOH1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,False,6.738186859472391
ACH-001099,KD,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,1.0010553957523485,False,3.5650731289416493
ACH-001100,KHYG-1,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma (NKCLL),0.7037306681563662,False,2.4283380609824015
ACH-001101,KLM-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,False,
ACH-001106,KOPN-8,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,1.0059097045845318,False,5.023344076204324
ACH-001107,KP-1N,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,False,
ACH-001109,KP-MRT-RY,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,,False,4.0947343386357495
ACH-001111,L82,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,1.2653872919801126,False,2.25634948303074
ACH-001113,LC-1/sq-SF,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,,False,0.0
ACH-001118,M059J,CNS/Brain,Diffuse Glioma,Glioblastoma,,False,
ACH-001119,Mac-2A,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Negative,0.9771154804451878,False,0.1139511489866191
ACH-001121,MEC2,Lymphoid,Mature B-Cell Neoplasms,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,,False,
ACH-001122,MKL-1,Skin,Merkel Cell Carcinoma,Merkel Cell Carcinoma,,False,
ACH-001123,MKL-2,Skin,Merkel Cell Carcinoma,Merkel Cell Carcinoma,,False,
ACH-001125,MOG-G-CCM,CNS/Brain,Diffuse Glioma,Anaplastic Astrocytoma,,False,
ACH-001126,MOG-G-UVW,CNS/Brain,Diffuse Glioma,Anaplastic Astrocytoma,,False,
ACH-001127,MOLT-4,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,,False,
ACH-001128,MON,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,1.0112911417241004,False,5.426268109802943
ACH-001129,MONO-MAC-1,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,1.049592156907834,False,5.598049521691344
ACH-001130,MOTN-1,Lymphoid,Mature T and NK Neoplasms,T-Cell Large Granular Lymphocytic Leukemia,1.0186756345669046,False,
ACH-001131,MS-1,Skin,Merkel Cell Carcinoma,Merkel Cell Carcinoma,,False,
ACH-001132,MTA,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma (NKCLL),0.8278342123192748,False,3.733408576250039
ACH-001134,MYLA,Lymphoid,Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma,0.615211389735015,False,1.7967389435451622
ACH-001136,NCI-H187,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,False,
ACH-001137,NCI-H1993,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,
ACH-001138,NCI-H2141,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,False,
ACH-001142,NHAHTDD,CNS/Brain,Non-Cancerous,"Immortalized Epithelial Cells, CNS",,False,4.780614565867045
ACH-001143,NKL,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma (NKCLL),1.0194757074188403,False,
ACH-001144,OC315,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,,False,
ACH-001145,OC 316,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,,False,6.02526804225779
ACH-001146,OCI-Ly10,Lymphoid,Mature B-Cell Neoplasms,Activated B-cell Type,,False,
ACH-001147,OCI-Ly12,Lymphoid,Mature T and NK Neoplasms,Follicular T-Cell Lymphoma,0.9905472721149856,False,3.577585929726966
ACH-001148,OCILY-132,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",1.0406205818515868,False,5.344427298157861
ACH-001150,OUMS-27,Bone,Chondrosarcoma,Chondrosarcoma,,False,0.0
ACH-001151,OVCAR-5,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,1.1954061501775458e-05,True,0.0
ACH-001162,PCM6,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,,False,
ACH-001163,CCLF_PEDS_0001_T,Kidney,Renal Cell Carcinoma,Renal Medullary Carcinoma,,False,8.09342812870656
ACH-001164,CCLF_PEDS_0003_T,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,0.9814101351334128,False,3.6332219404586894
ACH-001170,PeTa,Skin,Merkel Cell Carcinoma,Merkel Cell Carcinoma,,False,
ACH-001171,PL45,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,False,
ACH-001172,U-251 MG DM,CNS/Brain,Diffuse Glioma,Astrocytoma,,False,5.711178249897928
ACH-001175,RCC-4,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,,False,
ACH-001182,RPMI 6666,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,,False,
ACH-001183,RT112/84,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,1.3396908771977272e-05,True,0.0263638215458254
ACH-001184,SCMC-RM2,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,0.894281877119615,False,5.566541198563502
ACH-001188,SH-SY5Y,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,0.9585518519361308,False,4.954363839438512
ACH-001189,SJRH-30,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,,False,
ACH-001190,SK-MEL-2,Skin,Melanoma,Melanoma,0.8391131639405337,False,6.34368851643863
ACH-001192,SK-NEP-1,Bone,Ewing Sarcoma,Ewing Sarcoma,1.1904449399822883e-05,True,0.0854368939532418
ACH-001193,SK-PN-DW,Bone,Ewing Sarcoma,Ewing Sarcoma,0.9512689710036384,False,5.403342718714411
ACH-001194,SK-RC-31,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,,False,4.770813192153723
ACH-001196,SMS-CTR,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,0.7996581194422453,False,5.350507855096905
ACH-001197,SMZ-1,Lymphoid,Non-Hodgkin Lymphoma,Mature T and NK Neoplasms,0.6554683477963111,False,5.43235815907366
ACH-001198,SNB19,CNS/Brain,Diffuse Glioma,Astrocytoma,,False,
ACH-001199,SNUC2B,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,False,
ACH-001200,STM91-01,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,0.863742110581201,False,3.8633933733785626
ACH-001201,SU-MB-002,CNS/Brain,Embryonal Tumor,Medulloblastoma,1.0010061856298758,False,4.988616526341235
ACH-001203,SUP-HD1,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,,False,
ACH-001205,TC-32,Bone,Ewing Sarcoma,Ewing Sarcoma,,False,
ACH-001206,TTC-466,Bone,Ewing Sarcoma,Ewing Sarcoma,,False,
ACH-001207,TIG-3 TD,Fibroblast,Non-Cancerous,"Fibroblast, Lung",,False,4.5853051001113
ACH-001208,TK-10,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,,False,
ACH-001209,TOM-1,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,0.7250417319566522,False,4.398446145479472
ACH-001210,TTC-1240,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,0.9998698973668748,False,4.826782350174368
ACH-001211,TTC-549,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,1.0014115398538324,False,4.589116285922326
ACH-001212,TTC-642,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,,False,
ACH-001214,U-138 MG,CNS/Brain,Diffuse Glioma,Glioblastoma,,False,
ACH-001224,UM-RC-2,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,,False,
ACH-001225,UM-RC-6,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,,False,
ACH-001227,UPCI-SCC-090,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,1.1872893522475356,False,5.467553383895458
ACH-001228,UPCI-SCC-152,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,1.254238421326557,False,5.218471210743261
ACH-001229,UPCI-SCC-154,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,False,4.451000050719787
ACH-001230,UT-7,Myeloid,Acute Myeloid Leukemia,Acute Megakaryoblastic Leukemia,,False,
ACH-001232,UW228,CNS/Brain,Embryonal Tumor,Medulloblastoma,1.161128184815092,False,5.497650683702873
ACH-001233,VMRC-LCD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,
ACH-001234,VMRC-LCP,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,,False,
ACH-001239,WM-266-4,Skin,Melanoma,Melanoma,0.707375021053334,False,4.516235822111685
ACH-001249,YMB-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,,False,
ACH-001270,1273/99,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,,False,5.449409503984022
ACH-001272,Fuji,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,,False,
ACH-001274,SW982,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,0.1604839197319147,True,5.97331049138134
ACH-001275,SYO-1,Bone,Osteosarcoma,Osteosarcoma,0.9931845747919072,False,4.6034245760955335
ACH-001277,Yamato,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,1.2038193458327855,False,6.015299074558529
ACH-001278,BIN-67,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Small Cell Carcinoma of the Ovary,1.005530660592778,False,4.693570589570355
ACH-001279,SCCOHT-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Small Cell Carcinoma of the Ovary,0.9993460182940018,False,4.850334382009679
ACH-001280,SCS-214,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,1.138841819231033,False,4.819846976689143
ACH-001282,CHLA-258,Bone,Ewing Sarcoma,Ewing Sarcoma,,False,
ACH-001283,TC-106,Bone,Ewing Sarcoma,Ewing Sarcoma,1.435247627832548e-05,True,0.0
ACH-001289,COG-AR-359,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,,False,4.540504698496402
ACH-001295,Y-79,Eye,Retinoblastoma,Retinoblastoma,0.9542069577149844,False,0.278981498519225
ACH-001300,CHLA-15,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,0.9352343431089452,False,4.669077803346498
ACH-001301,COG-N-278,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,0.9895234179189056,False,5.1444298405202975
ACH-001302,COG-N-305,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,0.9670696729574964,False,4.932717909324481
ACH-001303,NB-1643,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,0.9451572322689318,False,4.623223075896506
ACH-001306,8305C,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,1.2295023649716736,False,5.819430609689289
ACH-001307,8505C,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,0.8788294552235177,False,5.245951947165368
ACH-001310,HA1E,Kidney,Non-Cancerous,Immortalized Embyonic Kidney Cells,,False,5.311637526301144
ACH-001318,PLC/PRF/5,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,0.583833385569574,False,3.540969575132527
ACH-001321,TT,Thyroid,Medullary Thyroid Cancer,Medullary Thyroid Cancer,,False,3.4203180060836815
ACH-001322,CME-1,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,0.6455611370447564,False,3.869713510255383
ACH-001328,A-431,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,,False,5.865040363454117
ACH-001329,ANGM-CSS,CNS/Brain,Diffuse Glioma,Glioblastoma,,False,4.3919876262198
ACH-001331,BICR 10,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,False,
ACH-001332,BICR 78,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,False,0.0310846022681346
ACH-001333,C-33 A,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,1.005713017061822,False,5.178391970366589
ACH-001334,C-4 I,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,1.14100702158335,False,5.761777259122069
ACH-001335,C-4 II,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,,False,5.086312469920601
ACH-001336,Ca Ski,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,1.1779951409414084,False,4.974056596404305
ACH-001338,CHP-134,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,0.9373049027220952,False,4.487621402744668
ACH-001339,Colo 794,Skin,Melanoma,Cutaneous Melanoma,,False,4.204852809071822
ACH-001340,COV413A,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,,False,4.171663202924995
ACH-001341,DoTc2 4510,Cervix,Mixed Cervical Carcinoma,Mixed Cervical Carcinoma,,False,6.66564858567454
ACH-001344,GI-ME-N,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,0.948841984267401,False,4.2252055085277895
